Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
40,1.0,0.0,2195.0,20.0,138.0,4072.0,0.0,71.11300000999994,71.11300000999994,0.0,407.45430755615234,,,,,,,,,,,,,,,,26.644138256266377,21.61413200486529,67.50361254317843,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,233.0,1.0,233.0,4305.0,0.0,157.21000000999993,157.21000000999993,0.0,552.4236302375793,,,,,,,,,,,,,,,,54.854893311807274,45.08034966294451,144.5733832516007,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,438.0,2.0,205.0,4510.0,0.0,138.51400000999996,138.51400000999996,0.0,566.6163175106049,,,,,,,,,,,,,,,,47.798364218204114,40.96877875361423,128.84417952479308,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,613.0,3.0,175.0,4685.0,0.0,83.70800001000006,83.70800001000006,0.0,578.7368619441986,,,,,,,,,,,,,,,,29.149956937270456,20.642435196220106,78.68544298896667,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,719.0,4.0,106.0,4791.0,0.0,69.71300000999996,69.71300000999996,0.0,586.2638161182404,,,,,,,,,,,,,,,,23.165921719964153,22.30079379779067,67.32473704472854,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,780.0,5.0,61.0,4852.0,0.0,22.215000010000043,22.215000010000043,0.0,590.8260400295258,,,,,,,,,,,,,,,,5.066214420873456,6.428261514837831,21.927888819145863,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,833.0,6.0,53.0,4905.0,0.0,17.21200001000003,17.21200001000003,0.0,594.8098142147064,,,,,,,,,,,,,,,,3.9441919408723956,4.870871576373208,17.019977814948717,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,878.0,7.0,45.0,4950.0,0.0,19.61000001000003,19.61000001000003,0.0,598.28751039505,,,,,,,,,,,,,,,,4.913465985247608,6.034033560109837,19.408302343006866,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,970.0,8.0,92.0,5042.0,0.0,23.220000010000085,23.220000010000085,0.0,604.8788325786591,,,,,,,,,,,,,,,,4.849242359132369,5.939245959700174,22.79666637933917,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,1077.0,9.0,107.0,5149.0,0.0,65.21000000999997,65.21000000999997,0.0,612.5106890201569,,,,,,,,,,,,,,,,23.75581201997015,19.32384073386847,62.730858982846044,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
